Genre,cnt
Other,1
Parlor,1
Boxing / Martial Arts,1
Board / Card Game,1
Biking,1
Government,1
Exercise / Fitness,1
Artillery,1
Horror,1
Marine,1
Matching,1
Motorcycle,1
Party / Minigame,1
Light Gun,1
Console-style RPG,1
MOBA,2
Rally / Offroad,2
Futuristic,2
Wargame,2
Modern Jet,2
Formula One,2
Submarine,2
Tycoon,2
Static,2
Street,2
Space,2
Civilian Plane,2
Career,2
WWII,2
Rail,3
Alternative,3
Ice Hockey,3
Business / Tycoon,3
Civilian,3
Stacking,3
Beat-'Em-Up,4
Golf,4
Skate / Skateboard,4
Small Spaceship,4
Football,4
Visual Novel,5
Virtual Life,5
Virtual,5
Vertical,5
Skateboarding,5
Scrolling,5
GT / Street,5
Flight,5
Card Battle,5
Management,6
Pinball,6
Combat,6
Stock Car,6
Command,6
Horizontal,7
Massively Multiplayer Online,7
Baseball,8
Sandbox,9
Basketball,9
Point-and-Click,10
Individual,10
4X,10
Driving,10
Massively Multiplayer,11
PC-style RPG,13
Top-Down,14
Rhythm,14
Music,15
Survival,15
Puzzle,18
Linear,18
Third-Person,19
Traditional,19
Tactical,20
Japanese-Style,21
Fighting,22
Tactics,25
Soccer,25
Shoot-'Em-Up,26
Real-Time,28
Western-Style,29
3D,30
Compilation,32
Open-World,35
Historic,40
Automobile,42
Turn-Based,43
Racing,44
Miscellaneous,45
Simulation,49
Adventure,49
Team,49
Modern,54
Fantasy,58
Sim,59
Sports,59
Strategy,74
Sci-Fi,80
Action RPG,85
Arcade,89
Platformer,99
First-Person,107
2D,117
Role-Playing,138
Action Adventure,139
Shooter,157
General,200
Action,281
